name,location,prize,date
"Schowalter, Gleason and Dietrich",Laxiong,59728,4/18/2021
Marquardt and Sons,Ivanteyevka,33880,11/6/2020
Wisoky-Collier,Sjöbo,2119,10/31/2020
Kling and Sons,Shoushan,3027,5/25/2020
Raynor Group,Charleston,4340,3/9/2021
Huel Inc,Urazovka,78783,10/25/2020
Howell-Jakubowski,Jabungsisir,99410,1/17/2021
Cronin Inc,Borovichi,69845,5/11/2020
"Reynolds, Spinka and Daniel",Comilla,99016,1/10/2021
"Kovacek, Jast and Bergnaum",Paris 15,94358,3/17/2021
"Von, Anderson and Torp",Hīsh,50990,10/17/2020
Will-Prosacco,Nama,45348,7/26/2020
